path	parent	name	synapseStore	contentType	used	executed	activityName	activityDescription	libraryPrep	consortium	grant	fileFormat	dataSubtype	runType	modelSystemName	organ	individualID	specimenID	resourceType	isModelSystem	platform	nucleicAcidSource	study	assay	readLength	species	tissue	dataType
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_20.FCHJKY5BBXX_L4_IGTTTCG.bam_R2.fastq.gz	syn18457738	APOE_3M_20.FCHJKY5BBXX_L4_IGTTTCG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-5	APOE_3M_20	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_28.FCHJKY5BBXX_L5_IGATCAG.bam_R2.fastq.gz	syn18457738	APOE_3M_28.FCHJKY5BBXX_L5_IGATCAG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-14	APOE_3M_28	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_25.FCHJKY5BBXX_L5_IATCACG.bam_R2.fastq.gz	syn18457738	APOE_3M_25.FCHJKY5BBXX_L5_IATCACG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-2	APOE_3M_25	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_2.FCHJKY5BBXX_L1_ITTAGGC.bam_R2.fastq.gz	syn18457738	APOE_3M_2.FCHJKY5BBXX_L1_ITTAGGC.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-15	APOE_3M_2	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_14.FCHJKY5BBXX_L3_ITTAGGC.bam_R2.fastq.gz	syn18457738	APOE_3M_14.FCHJKY5BBXX_L3_ITTAGGC.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-14	APOE_3M_14	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_22.FCHJKY5BBXX_L4_IGAGTGG.bam_R2.fastq.gz	syn18457738	APOE_3M_22.FCHJKY5BBXX_L4_IGAGTGG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-8	APOE_3M_22	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_23.FCHJKY5BBXX_L4_IACTGAT.bam_R2.fastq.gz	syn18457738	APOE_3M_23.FCHJKY5BBXX_L4_IACTGAT.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-11	APOE_3M_23	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_24.FCHJKY5BBXX_L4_IATTCCT.bam_R2.fastq.gz	syn18457738	APOE_3M_24.FCHJKY5BBXX_L4_IATTCCT.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-10	APOE_3M_24	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_26.FCHJKY5BBXX_L5_ITTAGGC.bam_R2.fastq.gz	syn18457738	APOE_3M_26.FCHJKY5BBXX_L5_ITTAGGC.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-15	APOE_3M_26	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_14.FCHJKY5BBXX_L3_ITTAGGC.bam_R1.fastq.gz	syn18457738	APOE_3M_14.FCHJKY5BBXX_L3_ITTAGGC.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-14	APOE_3M_14	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_10.FCHJKY5BBXX_L2_IGAGTGG.bam_R1.fastq.gz	syn18457738	APOE_3M_10.FCHJKY5BBXX_L2_IGAGTGG.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-1	APOE_3M_10	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_25.FCHJKY5BBXX_L5_IATCACG.bam_R1.fastq.gz	syn18457738	APOE_3M_25.FCHJKY5BBXX_L5_IATCACG.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-2	APOE_3M_25	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_13.FCHJKY5BBXX_L3_IATCACG.bam_R1.fastq.gz	syn18457738	APOE_3M_13.FCHJKY5BBXX_L3_IATCACG.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-14	APOE_3M_13	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_24.FCHJKY5BBXX_L4_IATTCCT.bam_R1.fastq.gz	syn18457738	APOE_3M_24.FCHJKY5BBXX_L4_IATTCCT.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-10	APOE_3M_24	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_28.FCHJKY5BBXX_L5_IGATCAG.bam_R1.fastq.gz	syn18457738	APOE_3M_28.FCHJKY5BBXX_L5_IGATCAG.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-14	APOE_3M_28	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_26.FCHJKY5BBXX_L5_ITTAGGC.bam_R1.fastq.gz	syn18457738	APOE_3M_26.FCHJKY5BBXX_L5_ITTAGGC.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-15	APOE_3M_26	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_22.FCHJKY5BBXX_L4_IGAGTGG.bam_R1.fastq.gz	syn18457738	APOE_3M_22.FCHJKY5BBXX_L4_IGAGTGG.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-8	APOE_3M_22	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_21.FCHJKY5BBXX_L4_ICGTACG.bam_R1.fastq.gz	syn18457738	APOE_3M_21.FCHJKY5BBXX_L4_ICGTACG.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-10	APOE_3M_21	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_19.FCHJKY5BBXX_L4_IGTGGCC.bam_R2.fastq.gz	syn18457738	APOE_3M_19.FCHJKY5BBXX_L4_IGTGGCC.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-4	APOE_3M_19	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_18.FCHJKY5BBXX_L3_IGGCTAC.bam_R1.fastq.gz	syn18457738	APOE_3M_18.FCHJKY5BBXX_L3_IGGCTAC.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-1	APOE_3M_18	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_12.FCHJKY5BBXX_L2_IATTCCT.bam_R2.fastq.gz	syn18457738	APOE_3M_12.FCHJKY5BBXX_L2_IATTCCT.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-16	APOE_3M_12	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_13.FCHJKY5BBXX_L3_IATCACG.bam_R2.fastq.gz	syn18457738	APOE_3M_13.FCHJKY5BBXX_L3_IATCACG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-14	APOE_3M_13	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_27.FCHJKY5BBXX_L5_IACTTGA.bam_R1.fastq.gz	syn18457738	APOE_3M_27.FCHJKY5BBXX_L5_IACTTGA.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-7	APOE_3M_27	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_23.FCHJKY5BBXX_L4_IACTGAT.bam_R1.fastq.gz	syn18457738	APOE_3M_23.FCHJKY5BBXX_L4_IACTGAT.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-11	APOE_3M_23	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_2.FCHJKY5BBXX_L1_ITTAGGC.bam_R1.fastq.gz	syn18457738	APOE_3M_2.FCHJKY5BBXX_L1_ITTAGGC.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-15	APOE_3M_2	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_27.FCHJKY5BBXX_L5_IACTTGA.bam_R2.fastq.gz	syn18457738	APOE_3M_27.FCHJKY5BBXX_L5_IACTTGA.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-7	APOE_3M_27	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_18.FCHJKY5BBXX_L3_IGGCTAC.bam_R2.fastq.gz	syn18457738	APOE_3M_18.FCHJKY5BBXX_L3_IGGCTAC.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-1	APOE_3M_18	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_11.FCHJKY5BBXX_L2_IACTGAT.bam_R1.fastq.gz	syn18457738	APOE_3M_11.FCHJKY5BBXX_L2_IACTGAT.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-3	APOE_3M_11	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_11.FCHJKY5BBXX_L2_IACTGAT.bam_R2.fastq.gz	syn18457738	APOE_3M_11.FCHJKY5BBXX_L2_IACTGAT.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE3-3	APOE_3M_11	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_17.FCHJKY5BBXX_L3_ITAGCTT.bam_R2.fastq.gz	syn18457738	APOE_3M_17.FCHJKY5BBXX_L3_ITAGCTT.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-8	APOE_3M_17	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_17.FCHJKY5BBXX_L3_ITAGCTT.bam_R1.fastq.gz	syn18457738	APOE_3M_17.FCHJKY5BBXX_L3_ITAGCTT.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-8	APOE_3M_17	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_21.FCHJKY5BBXX_L4_ICGTACG.bam_R2.fastq.gz	syn18457738	APOE_3M_21.FCHJKY5BBXX_L4_ICGTACG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-10	APOE_3M_21	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_34.FCHJKY5BBXX_L6_IGAGTGG.bam_R2.fastq.gz	syn18457738	APOE_3M_34.FCHJKY5BBXX_L6_IGAGTGG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-15	APOE_3M_34	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_3.FCHJKY5BBXX_L1_IACTTGA.bam_R1.fastq.gz	syn18457738	APOE_3M_3.FCHJKY5BBXX_L1_IACTTGA.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-9	APOE_3M_3	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_33.FCHJKY5BBXX_L6_ICGTACG.bam_R2.fastq.gz	syn18457738	APOE_3M_33.FCHJKY5BBXX_L6_ICGTACG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-2	APOE_3M_33	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_31.FCHJKY5BBXX_L6_IGTGGCC.bam_R1.fastq.gz	syn18457738	APOE_3M_31.FCHJKY5BBXX_L6_IGTGGCC.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-11	APOE_3M_31	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_31.FCHJKY5BBXX_L6_IGTGGCC.bam_R2.fastq.gz	syn18457738	APOE_3M_31.FCHJKY5BBXX_L6_IGTGGCC.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-11	APOE_3M_31	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_32.FCHJKY5BBXX_L6_IGTTTCG.bam_R1.fastq.gz	syn18457738	APOE_3M_32.FCHJKY5BBXX_L6_IGTTTCG.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-4	APOE_3M_32	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_32.FCHJKY5BBXX_L6_IGTTTCG.bam_R2.fastq.gz	syn18457738	APOE_3M_32.FCHJKY5BBXX_L6_IGTTTCG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE2-4	APOE_3M_32	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_37.FCHJKY5BBXX_L7_IATCACG.bam_R1.fastq.gz	syn18457738	APOE_3M_37.FCHJKY5BBXX_L7_IATCACG.bam_R1.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-13	APOE_3M_37	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
/hpcfs/users/a1647910/211001_APOE_Mm_ASE/00_rawData/fastq/APOE_3M_37.FCHJKY5BBXX_L7_IATCACG.bam_R2.fastq.gz	syn18457738	APOE_3M_37.FCHJKY5BBXX_L7_IATCACG.bam_R2.fastq.gz	True	application/octet-stream					polyAselection	M2OVE-AD	RF1AG051504	fastq	raw	pairedEnd	APOE-TR	brain	APOE4-13	APOE_3M_37	experimentalData	TRUE	HiSeq4000	bulk cell	APOE-TR	rnaSeq	51.0	Mouse	cerebral cortex	geneExpression
